trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_missing_words,total_queries,mean_queries_per_sbox,min_queries_per_sbox,max_queries_per_sbox,aggregate_empirical_rate,theoretical_rate,absolute_rate_error
6,64,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0x00000000,0,0,0,3111,388.875000,300,478,0.164577306332,0.164132936375,0.000444369957
6,72,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0x00000000,0,0,0,3502,437.750000,359,541,0.164477441462,0.164132936375,0.000344505087
6,80,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0x00000000,0,0,0,3927,490.875000,415,600,0.162974280621,0.164132936375,0.001158655754
6,96,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0xC340CD1E,1,8,8,4645,580.625000,513,706,0.165339074273,0.164132936375,0.001206137898
6,112,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0xC340CD1E,1,8,8,5326,665.750000,592,797,0.168231318062,0.164132936375,0.004098381687
6,128,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0xC340CD1E,1,8,8,6187,773.375000,701,894,0.165508323905,0.164132936375,0.001375387530
6,160,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0xC340CD1E,1,8,8,7662,957.750000,853,1081,0.167058209345,0.164132936375,0.002925272969
6,192,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0xC340CD1E,1,8,8,9374,1171.750000,1069,1329,0.163857478131,0.164132936375,0.000275458244
6,256,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0xC340CD1E,1,8,8,12435,1554.375000,1412,1730,0.164696421391,0.164132936375,0.000563485016
7,16,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0x00000000,0,0,0,744,93.000000,69,124,0.172043010753,0.164132936375,0.007910074377
7,24,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0x00000000,0,0,0,1097,137.125000,108,160,0.175022789426,0.164132936375,0.010889853050
7,32,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0x00000000,0,0,0,1461,182.625000,149,200,0.175222450376,0.164132936375,0.011089514001
7,40,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0x00000000,0,0,0,1807,225.875000,200,255,0.177089097952,0.164132936375,0.012956161577
7,48,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0x00000000,0,1,1,2185,273.125000,246,317,0.175743707094,0.164132936375,0.011610770718
7,56,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0x00000000,0,1,1,2531,316.375000,287,358,0.177005136310,0.164132936375,0.012872199934
7,64,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0x00000000,0,1,1,2942,367.750000,335,409,0.174031271244,0.164132936375,0.009898334869
7,72,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0x00000000,0,1,1,3356,419.500000,382,467,0.171632896305,0.164132936375,0.007499959930
7,80,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0xACCDE1E0,1,8,8,3694,461.750000,417,499,0.173253925284,0.164132936375,0.009120988909
7,96,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0xACCDE1E0,1,8,8,4418,552.250000,518,583,0.173834314169,0.164132936375,0.009701377794
7,112,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0xACCDE1E0,1,8,8,5206,650.750000,618,695,0.172109104879,0.164132936375,0.007976168504
7,128,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0xACCDE1E0,1,8,8,5960,745.000000,697,796,0.171812080537,0.164132936375,0.007679144162
7,160,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0xACCDE1E0,1,8,8,7427,928.375000,830,998,0.172344149724,0.164132936375,0.008211213349
7,192,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0xACCDE1E0,1,8,8,9003,1125.375000,1056,1278,0.170609796734,0.164132936375,0.006476860359
7,256,0x5343454E45525931,0x1C1B95409DC0A280,C780357F72316820E6F8,0xB,0xACCDE1E0,0xACCDE1E0,1,8,8,11915,1489.375000,1393,1596,0.171884179606,0.164132936375,0.007751243230
8,16,0x5343454E45525931,0x884833BBE6275AE8,7C5272573025293EB965,0x1,0xF2001301,0x00000000,0,0,0,716,89.500000,65,125,0.178770949721,0.164132936375,0.014638013345
8,24,0x5343454E45525931,0x884833BBE6275AE8,7C5272573025293EB965,0x1,0xF2001301,0x00000000,0,0,0,1017,127.125000,96,168,0.188790560472,0.164132936375,0.024657624097
8,32,0x5343454E45525931,0x884833BBE6275AE8,7C5272573025293EB965,0x1,0xF2001301,0x00000000,0,0,0,1402,175.250000,155,213,0.182596291013,0.164132936375,0.018463354637
8,40,0x5343454E45525931,0x884833BBE6275AE8,7C5272573025293EB965,0x1,0xF2001301,0x00000000,0,0,0,1810,226.250000,182,256,0.176795580110,0.164132936375,0.012662643735
8,48,0x5343454E45525931,0x884833BBE6275AE8,7C5272573025293EB965,0x1,0xF2001301,0x00000000,0,1,1,2226,278.250000,246,321,0.172506738544,0.164132936375,0.008373802169
8,56,0x5343454E45525931,0x884833BBE6275AE8,7C5272573025293EB965,0x1,0xF2001301,0x00000000,0,1,1,2602,325.250000,281,387,0.172175249808,0.164132936375,0.008042313432
8,64,0x5343454E45525931,0x884833BBE6275AE8,7C5272573025293EB965,0x1,0xF2001301,0xF2001301,1,8,8,3026,378.250000,321,438,0.169200264375,0.164132936375,0.005067328000
8,72,0x5343454E45525931,0x884833BBE6275AE8,7C5272573025293EB965,0x1,0xF2001301,0xF2001301,1,8,8,3430,428.750000,396,473,0.167930029155,0.164132936375,0.003797092779
8,80,0x5343454E45525931,0x884833BBE6275AE8,7C5272573025293EB965,0x1,0xF2001301,0xF2001301,1,8,8,3875,484.375000,446,509,0.165161290323,0.164132936375,0.001028353947
8,96,0x5343454E45525931,0x884833BBE6275AE8,7C5272573025293EB965,0x1,0xF2001301,0xF2001301,1,8,8,4676,584.500000,545,613,0.164242942686,0.164132936375,0.000110006311
