trial,samples_per_sbox,sbox,trial_seed,known_delta,query_count,empirical_rate,missing_count,missing_value,recovered_word,actual_word,unique_missing,word_success
1,112,7,0xAD18F677B9DCF542,0x2,633,0.176935229068,1,0x9,0xB,0xB,1,1
1,128,0,0xAD18F677B9DCF542,0x2,763,0.167758846658,1,0xA,0x8,0x8,1,1
1,128,1,0xAD18F677B9DCF542,0x2,812,0.157635467980,1,0xE,0xC,0xC,1,1
1,128,2,0xAD18F677B9DCF542,0x2,851,0.150411280846,1,0xC,0xE,0xE,1,1
1,128,3,0xAD18F677B9DCF542,0x2,779,0.164313222080,1,0x8,0xA,0xA,1,1
1,128,4,0xAD18F677B9DCF542,0x2,674,0.189910979228,1,0x9,0xB,0xB,1,1
1,128,5,0xAD18F677B9DCF542,0x2,796,0.160804020101,1,0x0,0x2,0x2,1,1
1,128,6,0xAD18F677B9DCF542,0x2,822,0.155717761557,1,0x4,0x6,0x6,1,1
1,128,7,0xAD18F677B9DCF542,0x2,731,0.175102599179,1,0x9,0xB,0xB,1,1
1,160,0,0xAD18F677B9DCF542,0x2,970,0.164948453608,1,0xA,0x8,0x8,1,1
1,160,1,0xAD18F677B9DCF542,0x2,1029,0.155490767736,1,0xE,0xC,0xC,1,1
1,160,2,0xAD18F677B9DCF542,0x2,1037,0.154291224687,1,0xC,0xE,0xE,1,1
1,160,3,0xAD18F677B9DCF542,0x2,1023,0.156402737048,1,0x8,0xA,0xA,1,1
1,160,4,0xAD18F677B9DCF542,0x2,849,0.188457008245,1,0x9,0xB,0xB,1,1
1,160,5,0xAD18F677B9DCF542,0x2,1008,0.158730158730,1,0x0,0x2,0x2,1,1
1,160,6,0xAD18F677B9DCF542,0x2,1049,0.152526215443,1,0x4,0x6,0x6,1,1
1,160,7,0xAD18F677B9DCF542,0x2,894,0.178970917226,1,0x9,0xB,0xB,1,1
1,192,0,0xAD18F677B9DCF542,0x2,1132,0.169611307420,1,0xA,0x8,0x8,1,1
1,192,1,0xAD18F677B9DCF542,0x2,1169,0.164242942686,1,0xE,0xC,0xC,1,1
1,192,2,0xAD18F677B9DCF542,0x2,1220,0.157377049180,1,0xC,0xE,0xE,1,1
1,192,3,0xAD18F677B9DCF542,0x2,1225,0.156734693878,1,0x8,0xA,0xA,1,1
1,192,4,0xAD18F677B9DCF542,0x2,1036,0.185328185328,1,0x9,0xB,0xB,1,1
1,192,5,0xAD18F677B9DCF542,0x2,1241,0.154713940371,1,0x0,0x2,0x2,1,1
1,192,6,0xAD18F677B9DCF542,0x2,1271,0.151062155783,1,0x4,0x6,0x6,1,1
1,192,7,0xAD18F677B9DCF542,0x2,1070,0.179439252336,1,0x9,0xB,0xB,1,1
1,256,0,0xAD18F677B9DCF542,0x2,1531,0.167210973220,1,0xA,0x8,0x8,1,1
1,256,1,0xAD18F677B9DCF542,0x2,1526,0.167758846658,1,0xE,0xC,0xC,1,1
1,256,2,0xAD18F677B9DCF542,0x2,1599,0.160100062539,1,0xC,0xE,0xE,1,1
1,256,3,0xAD18F677B9DCF542,0x2,1569,0.163161249203,1,0x8,0xA,0xA,1,1
1,256,4,0xAD18F677B9DCF542,0x2,1522,0.168199737188,1,0x9,0xB,0xB,1,1
1,256,5,0xAD18F677B9DCF542,0x2,1681,0.152290303391,1,0x0,0x2,0x2,1,1
1,256,6,0xAD18F677B9DCF542,0x2,1739,0.147211040828,1,0x4,0x6,0x6,1,1
1,256,7,0xAD18F677B9DCF542,0x2,1389,0.184305255580,1,0x9,0xB,0xB,1,1
2,16,0,0x0459E4E2B3FA1662,0x7,69,0.231884057971,4,NA,0x0,0xA,0,0
2,16,1,0x0459E4E2B3FA1662,0x7,90,0.177777777778,0,NA,0x0,0xB,0,0
2,16,2,0x0459E4E2B3FA1662,0x7,75,0.213333333333,0,NA,0x0,0x2,0,0
2,16,3,0x0459E4E2B3FA1662,0x7,76,0.210526315789,0,NA,0x0,0xF,0,0
2,16,4,0x0459E4E2B3FA1662,0x7,114,0.140350877193,0,NA,0x0,0x1,0,0
2,16,5,0x0459E4E2B3FA1662,0x7,131,0.122137404580,0,NA,0x0,0xB,0,0
2,16,6,0x0459E4E2B3FA1662,0x7,92,0.173913043478,0,NA,0x0,0x7,0,0
2,16,7,0x0459E4E2B3FA1662,0x7,106,0.150943396226,0,NA,0x0,0x9,0,0
2,24,0,0x0459E4E2B3FA1662,0x7,152,0.157894736842,3,NA,0x0,0xA,0,0
2,24,1,0x0459E4E2B3FA1662,0x7,151,0.158940397351,0,NA,0x0,0xB,0,0
2,24,2,0x0459E4E2B3FA1662,0x7,141,0.170212765957,0,NA,0x0,0x2,0,0
2,24,3,0x0459E4E2B3FA1662,0x7,144,0.166666666667,0,NA,0x0,0xF,0,0
2,24,4,0x0459E4E2B3FA1662,0x7,147,0.163265306122,0,NA,0x0,0x1,0,0
2,24,5,0x0459E4E2B3FA1662,0x7,174,0.137931034483,0,NA,0x0,0xB,0,0
2,24,6,0x0459E4E2B3FA1662,0x7,160,0.150000000000,0,NA,0x0,0x7,0,0
2,24,7,0x0459E4E2B3FA1662,0x7,142,0.169014084507,0,NA,0x0,0x9,0,0
2,32,0,0x0459E4E2B3FA1662,0x7,191,0.167539267016,3,NA,0x0,0xA,0,0
2,32,1,0x0459E4E2B3FA1662,0x7,185,0.172972972973,0,NA,0x0,0xB,0,0
2,32,2,0x0459E4E2B3FA1662,0x7,182,0.175824175824,0,NA,0x0,0x2,0,0
2,32,3,0x0459E4E2B3FA1662,0x7,175,0.182857142857,0,NA,0x0,0xF,0,0
2,32,4,0x0459E4E2B3FA1662,0x7,202,0.158415841584,0,NA,0x0,0x1,0,0
2,32,5,0x0459E4E2B3FA1662,0x7,228,0.140350877193,0,NA,0x0,0xB,0,0
2,32,6,0x0459E4E2B3FA1662,0x7,186,0.172043010753,0,NA,0x0,0x7,0,0
2,32,7,0x0459E4E2B3FA1662,0x7,204,0.156862745098,0,NA,0x0,0x9,0,0
2,40,0,0x0459E4E2B3FA1662,0x7,252,0.158730158730,3,NA,0x0,0xA,0,0
2,40,1,0x0459E4E2B3FA1662,0x7,227,0.176211453744,0,NA,0x0,0xB,0,0
2,40,2,0x0459E4E2B3FA1662,0x7,222,0.180180180180,0,NA,0x0,0x2,0,0
2,40,3,0x0459E4E2B3FA1662,0x7,224,0.178571428571,0,NA,0x0,0xF,0,0
2,40,4,0x0459E4E2B3FA1662,0x7,248,0.161290322581,0,NA,0x0,0x1,0,0
