trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_minimum_words,total_public_outputs,total_internal_ineffective,total_infected,aggregate_empirical_rate,theoretical_rate,absolute_rate_error,mean_minimum_gap,min_minimum_gap,max_minimum_gap
25,3072,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0xC0F5DFA9,0,6,8,24576,4169,20407,0.169637044271,0.164132936375,0.005504107895,12.625000,1,24
25,4096,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0x00000000,0,6,7,32768,5483,27285,0.167327880859,0.164132936375,0.003194944484,20.857143,7,35
25,6144,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0xC4F5CBA9,1,8,8,49152,8205,40947,0.166931152344,0.164132936375,0.002798215968,36.875000,19,57
25,8192,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0xC4F5CBA9,1,8,8,65536,10791,54745,0.164657592773,0.164132936375,0.000524656398,54.750000,29,92
25,12288,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0xC4F5CBA9,1,8,8,98304,16088,82216,0.163655598958,0.164132936375,0.000477337417,95.500000,81,106
25,16384,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0xC4F5CBA9,1,8,8,131072,21448,109624,0.163635253906,0.164132936375,0.000497682469,128.125000,109,142
25,24576,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0xC4F5CBA9,1,8,8,196608,32180,164428,0.163675944010,0.164132936375,0.000456992365,213.125000,173,259
25,32768,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0xC4F5CBA9,1,8,8,262144,42818,219326,0.163337707520,0.164132936375,0.000795228856,282.750000,231,349
26,512,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0xBC399B56,0,4,8,4096,693,3403,0.169189453125,0.164132936375,0.005056516750,3.875000,1,11
26,1024,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0xB8B91ED2,0,4,8,8192,1396,6796,0.170410156250,0.164132936375,0.006277219875,7.375000,1,15
26,1536,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0x3CB99BD6,0,4,8,12288,2082,10206,0.169433593750,0.164132936375,0.005300657375,6.250000,1,19
26,2048,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0x00000000,0,5,7,16384,2784,13600,0.169921875000,0.164132936375,0.005788938625,12.142857,2,24
26,3072,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0x00000000,0,6,7,24576,4163,20413,0.169392903646,0.164132936375,0.005259967270,20.857143,2,42
26,4096,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0x18B89BD2,0,7,8,32768,5511,27257,0.168182373047,0.164132936375,0.004049436672,26.125000,1,51
26,6144,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0x18B89BD2,0,7,8,49152,8200,40952,0.166829427083,0.164132936375,0.002696490708,32.875000,1,72
26,8192,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0x18381BD2,0,7,8,65536,10913,54623,0.166519165039,0.164132936375,0.002386228664,47.875000,1,82
26,12288,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0x98B89B52,1,8,8,98304,16278,82026,0.165588378906,0.164132936375,0.001455442531,84.000000,21,135
26,16384,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0x98B89B52,1,8,8,131072,21478,109594,0.163864135742,0.164132936375,0.000268800633,107.750000,21,168
26,24576,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0x98B89B52,1,8,8,196608,32313,164295,0.164352416992,0.164132936375,0.000219480617,192.250000,142,234
26,32768,0x5343454E45545935,0x7F077B491951EF5B,BE9E9736D5E0806A458E,0x8,0x98B89B52,0x98B89B52,1,8,8,262144,43059,219085,0.164257049561,0.164132936375,0.000124113185,268.125000,211,311
27,512,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x00000000,0,2,6,4096,676,3420,0.165039062500,0.164132936375,0.000906126125,2.833333,1,6
27,1024,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x00000000,0,3,6,8192,1350,6842,0.164794921875,0.164132936375,0.000661985500,4.500000,2,11
27,1536,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x00000000,0,4,7,12288,1984,10304,0.161458333333,0.164132936375,0.002674603042,6.428571,1,13
27,2048,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x00000000,0,4,7,16384,2693,13691,0.164367675781,0.164132936375,0.000234739406,6.714286,1,18
27,3072,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x00000000,0,6,7,24576,4034,20542,0.164143880208,0.164132936375,0.000010943833,14.571429,1,29
27,4096,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x00000000,0,5,6,32768,5384,27384,0.164306640625,0.164132936375,0.000173704250,23.333333,3,41
27,6144,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x62F4C820,0,7,8,49152,8083,41069,0.164449055990,0.164132936375,0.000316119614,33.625000,13,63
27,8192,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x00000000,0,7,7,65536,10801,54735,0.164810180664,0.164132936375,0.000677244289,50.571429,27,76
27,12288,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x60F6C820,1,8,8,98304,16077,82227,0.163543701172,0.164132936375,0.000589235203,92.500000,54,146
27,16384,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x60F6C820,1,8,8,131072,21401,109671,0.163276672363,0.164132936375,0.000856264012,133.375000,75,184
27,24576,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x60F6C820,1,8,8,196608,32300,164308,0.164286295573,0.164132936375,0.000153359198,208.875000,173,240
27,32768,0x5343454E45545935,0x93C72C2346761AE1,3A29B3CF99E32A471D8E,0xA,0x60F6C820,0x60F6C820,1,8,8,262144,42960,219184,0.163879394531,0.164132936375,0.000253541844,260.875000,214,331
